Table,Column
dimsalesterritory,SalesTerritoryKey
dimsalesterritory,SalesTerritoryRegion
dimsalesterritory,SalesTerritoryAlternateKey
dimsalesterritory,SalesTerritoryCountry
dimsalesterritory,SalesTerritoryImage
dimsalesterritory,SalesTerritoryGroup
dimsalesterritory.csv,SalesTerritoryGroup
dimsalesterritory.csv,SalesTerritoryRegion
dimsalesterritory.csv,SalesTerritoryCountry
dimsalesterritory.csv,SalesTerritoryKey
dimsalesterritory.csv,SalesTerritoryAlternateKey
dimsalesterritory.csv,SalesTerritoryImage
dimscenario,ScenarioKey
dimscenario,ScenarioName
dimscenario.csv,ScenarioName
dimscenario.csv,ScenarioKey
factadditionalinternationalproductdescription,ProductKey
factadditionalinternationalproductdescription,ProductDescription
factadditionalinternationalproductdescription,CultureName
factadditionalinternationalproductdescription.csv,ProductKey
factadditionalinternationalproductdescription.csv,CultureName
factadditionalinternationalproductdescription.csv,ProductDescription
factcurrencyrate,AverageRate
factcurrencyrate,EndOfDayRate
factcurrencyrate,Date
factcurrencyrate,DateKey
factcurrencyrate,CurrencyKey
factcurrencyrate.csv,Date
factcurrencyrate.csv,EndOfDayRate
factcurrencyrate.csv,DateKey
factcurrencyrate.csv,CurrencyKey
factcurrencyrate.csv,AverageRate
factfinance,AccountKey
factfinance,ScenarioKey
factfinance,DepartmentGroupKey
factfinance,FinanceKey
factfinance,Amount
factfinance,OrganizationKey
factfinance,DateKey
factfinance,Date
factfinance.csv,Date
factfinance.csv,DepartmentGroupKey
factfinance.csv,AccountKey
factfinance.csv,Amount
factfinance.csv,FinanceKey
factfinance.csv,ScenarioKey
factfinance.csv,OrganizationKey
factfinance.csv,DateKey
factinternetsales,ProductKey
factinternetsales,DueDate
factinternetsales,SalesAmount
factinternetsales,Freight
factinternetsales,SalesOrderNumber
factinternetsales,TaxAmt
factinternetsales,OrderDate
factinternetsales,OrderQuantity
factinternetsales,ShipDateKey
factinternetsales,TotalProductCost
factinternetsales,ShipDate
factinternetsales,SalesOrderLineNumber
factinternetsales,PromotionKey
factinternetsales,UnitPriceDiscountPct
factinternetsales,SalesTerritoryKey
factinternetsales,OrderDateKey
factinternetsales,CarrierTrackingNumber
factinternetsales,CurrencyKey
factinternetsales,UnitPrice
factinternetsales,DueDateKey
factinternetsales,CustomerKey
factinternetsales,RevisionNumber
factinternetsales,DiscountAmount
factinternetsales,CustomerPONumber
factinternetsales,ExtendedAmount
factinternetsales,ProductStandardCost
factinternetsalesreason,SalesOrderLineNumber
factinternetsalesreason,SalesOrderNumber
factinternetsalesreason,SalesReasonKey
factinternetsalesreason.csv,SalesOrderLineNumber
factinternetsalesreason.csv,SalesReasonKey
factinternetsalesreason.csv,SalesOrderNumber
factproductinventory,MovementDate
factproductinventory,UnitsOut
factproductinventory,ProductKey
factproductinventory,DateKey
factproductinventory,UnitCost
factproductinventory,UnitsBalance
factproductinventory,UnitsIn
factproductinventory.csv,DateKey
factproductinventory.csv,ProductKey
factproductinventory.csv,UnitCost
factproductinventory.csv,UnitsIn
factproductinventory.csv,MovementDate
factproductinventory.csv,UnitsOut
factproductinventory.csv,UnitsBalance
factresellersales,OrderDate
factresellersales,ProductStandardCost
factresellersales,CustomerPONumber
factresellersales,ShipDate
factresellersales,TaxAmt
factresellersales,DueDate
factresellersales,DueDateKey
factresellersales,ExtendedAmount
factresellersales,SalesOrderNumber
factresellersales,UnitPrice
factresellersales,SalesAmount
factresellersales,RevisionNumber
factresellersales,DiscountAmount
factresellersales,ProductKey
factresellersales,ResellerKey
factresellersales,PromotionKey
factresellersales,OrderDateKey
factresellersales,Freight
factresellersales,TotalProductCost
factresellersales,CarrierTrackingNumber
factresellersales,EmployeeKey
factresellersales,UnitPriceDiscountPct
